Path,File category,Production / QA / Data / Backup / Documentation,Size,SHA-256,Last modified,Generated by,Required at runtime,Safe for GitHub,Notes
".logs/codex-qa-progress.md","Unknown","Documentation",1231,c1cd538ed94d25f71f30c0f18394f6ca0d2e3a1f5d5e82a98b3f5ca414ef7281,"2026-07-24T22:30:13.209Z","Human","Yes","Yes",""
"app.js","Unknown","Production",237078,e522845cfa7bc1c2fcd9cf323ee3cbdf8470d820572a189420d3bf93835ec877,"2026-07-25T21:49:50.662Z","Human","Yes","Yes",""
"backups/content-backup-initial.json","Unknown","Data",30371,545002c1c3225fe5eff3c6ca096c86f558cedf5ceee340e624ccba732fd3fa08,"2026-07-22T20:31:28.477Z","Human","Yes","Yes",""
"backups/full-admin-backup-initial.json","Unknown","Data",31080,66d0705ec215b28dc4986a79d0b421ef6a5c48d083aed602fa7eeecd498dc322,"2026-07-22T20:31:28.486Z","Human","Yes","Yes",""
"backups/README.md","Unknown","Documentation",1444,27d53be0568fd5ea70c24375d0f10f8d22639efc3a7f2b359b104d8a7a1e5f53,"2026-07-23T20:49:53.475Z","Human","Yes","Yes",""
"CHANGELOG_HE.txt","Unknown","Other",7002,49643844e09a1444b84118ed121de8e83ecfb1fff25759451b263407a3ab6047,"2026-07-23T20:50:59.049Z","Human","Yes","Yes",""
"core/boot.js","Unknown","Production",1299,f97a25bae6d7a9af7d1ed1515690ad563a74aba47adadc3fbb78b3f996018ce5,"2026-07-23T16:52:42.541Z","Human","Yes","Yes",""
"core/inline-editor.js","Unknown","Production",13240,a4adb092bc84839e4f16e49adde6ae3cb73a359187f17cd82b3fe4c4b0eb88e6,"2026-07-23T20:37:32.653Z","Human","Yes","Yes",""
"core/integrity.js","Unknown","Production",28589,1d99046dd4eb5e8822d0d1af9c5d4414f5c7ec6ec58050273ad16488b37d5a86,"2026-07-22T21:13:44.793Z","Human","Yes","Yes",""
"core/persistence.js","Unknown","Production",29058,a1da3674c588d15af846c5a32b84cd935421ee6719aee639095a481bf0a6e159,"2026-07-23T16:52:42.546Z","Human","Yes","Yes",""
"core/README.md","Unknown","Documentation",4448,d8068cfb8ca727f3a561fe6caf5eec4fe1d0b450f93e3c71f671ad98876c0cd9,"2026-07-23T20:48:51.537Z","Human","Yes","Yes",""
"core/recovery-wizard.ps1","Unknown","Production",5537,113b0a692dbc877bc92aba1203ef1d98832e050664ece46a6686ed6ccc1fa1ca,"2026-07-25T16:17:51.537Z","Human","Yes","Yes",""
"core/shared-sync.js","Unknown","Production",12884,9cfa3729bdf959f2ceef5ddfe1e9c3e26a8bdfba21cd2bbc070b7ad0120b8b61,"2026-07-25T16:15:24.239Z","Human","Yes","Yes",""
"core/start-local-server.ps1","Unknown","Production",22634,2329617ae979b0bc7853ba0bbf58a7d86f7f62aacfee927c9c47a9f96684e5b2,"2026-07-25T17:35:33.346Z","Human","Yes","Yes",""
"data/mechlex-data.js","Unknown","Production",24221,81c81477745d8d54b74a5d56f24b8037948b59bbdf50b92d7aa79f3caf44d9d6,"2026-07-22T20:31:28.525Z","Human","Yes","Yes",""
"data/README.md","Unknown","Documentation",1870,6e054ae3372fc9631dfeb9c806b48947236c00b9f405d62968a9fa672c7d654e,"2026-07-23T20:49:13.604Z","Human","Yes","Yes",""
"generate_inventory.js","Unknown","Production",2261,f68ff87cb966585e3fdbecaebb55b9146debebcd741571fce6123bdca9be6564,"2026-07-25T21:54:26.421Z","Human","Yes","Yes",""
"images/catalog.js","Unknown","Production",74,011e1e60896d506ef33c1e80f88ef6be85f5fd7118bea43da872a3b617f294a8,"2026-07-22T20:31:28.540Z","Human","Yes","Yes",""
"images/mechlex-icon.svg","Unknown","Other",600,6dad7efebccceb58f809efbc16849d35d883f6aa0d1236c4b28dfdbad9952a33,"2026-07-22T20:55:00.259Z","Human","Yes","Yes",""
"images/README.md","Unknown","Documentation",2107,38bb4ebe76f838c4afcb7a381114db9586db0367605f1ad7b70fd311dbb56ee6,"2026-07-23T20:49:36.893Z","Human","Yes","Yes",""
"images/README_IMAGES.txt","Unknown","Documentation",939,4411aa3a3d84adf5716731480de88776576c8b1a63219e37c004cf4b56f5ffbf,"2026-07-22T21:17:40.712Z","Human","Yes","Yes",""
"index.html","Unknown","Production",53334,408aa20443440e473cb8512e11d1a1275086b2a2b5d4117164a9ed6f18c211f6,"2026-07-25T17:49:40.149Z","Human","Yes","Yes",""
"manifest.json","Unknown","Data",436254,42af39cafc4e49ca81d5ba53fbee18f03886e8017d3f03e87956d4d441292add,"2026-07-25T17:51:00.729Z","Human","Yes","Yes",""
"qa/architecture/DATA_FLOW.md","Unknown","QA",2372,823969df1e16d17ce7046648f5c757209ec5eacfe6c4fc423204c82efb6be62b,"2026-07-24T22:24:19.500Z","Human","Yes","Yes",""
"qa/architecture/PERSISTENCE_AND_LOCKING.md","Unknown","QA",2154,9ac803e13bdccb01b1e8cece2b0124225f4e919782f84dd32353683888e6b30e,"2026-07-24T22:24:19.503Z","Human","Yes","Yes",""
"qa/architecture/ROLE_MODEL.md","Unknown","QA",1473,97a6511c4d8dc85122c18a6df97cf7ea0d8db056df8c7dc1d2f361f483c9cf47,"2026-07-24T22:24:19.505Z","Human","Yes","Yes",""
"qa/architecture/SYSTEM_MAP.md","Unknown","QA",2726,e894b7eaa01213b7fbcb5ee3454bb0e7e9e110026422d327d1abda0e411604a9,"2026-07-24T22:24:19.497Z","Human","Yes","Yes",""
"qa/automation/accessibility.spec.js","Unknown","QA",3440,4b083e88335c641758ff7dd2aa1ab122ae6b995751384085461744ec3100d506,"2026-07-25T17:48:48.743Z","Human","Yes","Yes",""
"qa/automation/after-fill.png","Unknown","QA",114410,1bce61b4c33f3458050ac4bd9a0c332dcccc7c32b02b3323641b6c11e23fb620,"2026-07-25T18:25:10.926Z","Human","Yes","Yes",""
"qa/automation/all_elements.json","Unknown","QA",50030,32b7bc7d42f8ca76bb19a0d7d817c512a6f44f40d7c642677ca992bf4588a1c0,"2026-07-25T21:50:12.132Z","Human","Yes","Yes",""
"qa/automation/build_clean_hierarchy.js","Unknown","QA",9514,c15f2de0c6ef107119ce3b3d82810b7ae4070f6d547398bb7c049c284083598c,"2026-07-25T18:52:28.033Z","Human","Yes","Yes",""
"qa/automation/capture_initial.js","Unknown","QA",518,b89d3f858c68edf28d374692f84d25f05387217a5a69b3813e6424d05501d3f4,"2026-07-25T21:45:55.281Z","Human","Yes","Yes",""
"qa/automation/capture_qa_screenshots.js","Unknown","QA",1334,193835827a30ddae607a81ed125b94d49c1ad8f51962637a8a09480a9a3be13f,"2026-07-25T21:34:08.919Z","Human","Yes","Yes",""
"qa/automation/check_empty_terms.js","Unknown","QA",382,d7495c7d1f641d56847f4cdb63dc99c7ce5a916add421f8bcf278a26bd16587b,"2026-07-25T21:44:49.309Z","Human","Yes","Yes",""
"qa/automation/debug_mindmap.js","Unknown","QA",1451,462c3c8fd164c0cef31649754df589e993fe619944269a8276c29c8fecfc4370,"2026-07-25T21:45:33.065Z","Human","Yes","Yes",""
"qa/automation/find_all_elements.js","Unknown","QA",1150,3ffe0c8f12e97759021dfb87a85621c42d5f534650a4d737e0bf3a9cfa38c9e5,"2026-07-25T21:47:50.756Z","Human","Yes","Yes",""
"qa/automation/find_mysterious_element.js","Unknown","QA",1667,fd2c0f0f760a1945492ff918a4dd50d74c9d36c38fa8c86647c2fc45184bd383,"2026-07-25T21:44:10.333Z","Human","Yes","Yes",""
"qa/automation/fix_checksum.ps1","Unknown","QA",607,8fbee11c2fdeb7f948892b07a65ff32ea2e3ee9d58f17840d8bcee0d42263655,"2026-07-25T18:53:40.913Z","Human","Yes","Yes",""
"qa/automation/generate_named_test_images.ps1","Unknown","QA",912,5730b5fbd7a94b723d67bfe27bd07d8f5d6d8ff4ac47d1dc15efed8f228e288f,"2026-07-25T18:02:36.017Z","Human","Yes","Yes",""
"qa/automation/generate_test_images.ps1","Unknown","QA",1314,4c755db74f5ab9b558b85dbb96ca57791e6f8c626d45b362838374cf406f1fb0,"2026-07-25T17:57:53.694Z","Human","Yes","Yes",""
"qa/automation/package-lock.json","Unknown","QA",2836,a340ff05af2e6d5f5977a115a2ea798444a268ab6bb55634214c56f2d15cb1de,"2026-07-25T17:36:10.867Z","Human","Yes","Yes",""
"qa/automation/package.json","Unknown","QA",322,353bf1d88d644b53f3fad18af039ac8f10987d1c78e682763b41cab894dd0618,"2026-07-25T17:36:10.855Z","Human","Yes","Yes",""
"qa/automation/qa_hierarchy_demo_part1.js","Unknown","QA",33261,7dcf2f97a9a44230545ae571e344380c4e146f0751b9ccd001d0ebf07a28d539,"2026-07-25T18:52:48.246Z","Human","Yes","Yes",""
"qa/automation/run-server-admin.ps1","Unknown","QA",143,de5bc508d9f7cce7726d691897d77bf28af59a7aad8ceb33412a2739484c8219,"2026-07-25T18:24:45.268Z","Human","Yes","Yes",""
"qa/automation/screenshots/1_main_domain_expanded.png","Unknown","QA",402860,5fbb0915c43ef74514f971fa8c2ded810445d81d4d1d7c057f7b75e4078573c9,"2026-07-25T18:38:23.298Z","Human","Yes","Yes",""
"qa/automation/screenshots/mindmap_clean_hierarchy.png","Unknown","QA",207357,87e6027a0c15630a8f8c51a748169a48fd5bc5d70c157fda76e0b23b60186cba,"2026-07-25T21:34:20.259Z","Human","Yes","Yes",""
"qa/automation/screenshots/mindmap_debug.png","Unknown","QA",259952,e7d6faf0bd4a3f8375bc1a2aa859c13a6f0dd5ac669cf226c3e2bcf27120ee5e,"2026-07-25T21:45:39.932Z","Human","Yes","Yes",""
"qa/automation/screenshots/mindmap_initial.png","Unknown","QA",254661,2646a48f6151650fb3a31b4deb565bec72ceb27848c7c811ac12ff5c6fb523ea,"2026-07-25T21:49:58.321Z","Human","Yes","Yes",""
"qa/automation/terms-tab.png","Unknown","QA",131349,387c440125edff3db4e04db288217a0f6b6706c469a19e0ecd8b2a042c2f0070,"2026-07-25T18:25:14.044Z","Human","Yes","Yes",""
"qa/automation/test-domain.js","Unknown","QA",1423,82e30f8f8405ee8e98d1a52c88f6a5e3cac822f40bc228cfed7ce466dff4d819,"2026-07-25T18:22:48.692Z","Human","Yes","Yes",""
"qa/automation/test-images/Ball_Bearing.png","Unknown","QA",2147,eb2fd3ddc17805235cb3c955124c447429ee4dbb440a92872a601f7e971bf359,"2026-07-25T18:02:41.723Z","Human","Yes","Yes",""
"qa/automation/test-images/FDM_Layers.png","Unknown","QA",2106,95f5f06270df2803c2cbc47cc8eaa1ecca9174d47903798e604f60b51abaa726,"2026-07-25T18:02:41.741Z","Human","Yes","Yes",""
"qa/automation/test-images/Gears.png","Unknown","QA",1832,3604d05d3c5908572cefa52c233b74c3c4bc5aaca4d5f4befcd27bf224612842,"2026-07-25T18:02:41.718Z","Human","Yes","Yes",""
